id,name,sex,class_id
1,张伟,男,1
2,王芳,女,1
3,李志明,男,1
4,刘静,女,1
5,陈强,男,1
6,杨晓敏,女,1
7,赵磊,男,1
8,黄燕,女,1
9,周建超,男,1
10,吴洁,女,1
11,徐浩,男,1
12,孙小玲,女,1
13,朱军,男,1
14,马艳,女,1
15,胡文翔,男,1
16,郭慧,女,1
17,林博,男,1
18,何雨婷,女,1
19,高鹏,男,1
20,梁颖,女,1
21,郑建辉,男,1
22,罗雪,女,1
23,宋斌,男,1
24,谢晓丽,女,1
25,唐凯,男,1
26,韩莹,女,1
27,曹文宇,男,1
28,许红,女,1
29,邓轩,男,1
30,冯晓倩,女,1
31,曾豪,男,1
32,程梅,女,1
33,蔡志鑫,男,1
34,彭萍,女,1
35,潘阳,男,1
36,袁晓琳,女,1
37,余俊,男,1
38,董华,女,1
39,魏文哲,男,1
40,蒋英,女,1
41,田勇,男,1
42,杜晓璐,女,1
43,沈波,男,1
44,姜晓,女,1
45,范建昊,男,1
46,江云,女,1
47,傅腾,男,1
48,钱晓月,女,1
49,秦峰,男,1
50,褚雯,女,1
51,卫建志,男,2
52,柳青,女,2
53,方刚,男,2
54,吕晓霞,女,2
55,石锋,男,2
56,贾晴,女,2
57,夏建军,男,2
58,史雨,女,2
59,虞浩,男,2
60,钟晓美,女,2
61,尹鹤,男,2
62,孔燕,女,2
63,毛文锐,男,2
64,熊慧,女,2
65,贺勋,男,2
66,金晓云,女,2
67,段彬,男,2
68,顾旭,女,2
69,龚建伟,男,2
70,常娇,女,2
71,汤志,男,2
72,任晓欢,女,2
73,殷腾,男,2
74,苗雅,女,2
75,甘建思,男,2
76,裴月,女,2
77,萧荣,男,2
78,侯晓雯,女,2
79,安晓,男,2
80,丘蓉,女,2
81,管文博,男,2
82,季兰,女,2
83,卢晨,男,2
84,宫晓婧,女,2
85,符锦,男,2
86,童敏,女,2
87,纪建辉,男,2
88,阮佳,女,2
89,向阳,男,2
90,晏晓雪,女,2
91,支磊,男,2
92,荆蕊,女,2
93,庾文浩,男,2
94,米慧,女,2
95,路杰,男,2
96,葛晓玲,女,2
97,岳斌,男,2
98,巩梅,女,2
99,龙文轩,男,2
100,赖晴,女,2
101,鲁强,男,3
102,宁晓芳,女,3
103,左超,男,3
104,丁静,女,3
105,盛文浩,男,3
106,毕敏,女,3
107,欧杰,男,3
108,郝晓燕,女,3
109,陶翔,男,3
110,应霞,女,3
111,白建鹏,男,3
112,廉婷,女,3
113,严博,男,3
114,牛晓莹,女,3
115,廖辉,男,3
116,洪颖,女,3
117,乔文智,男,3
118,邵晓,女,3
119,温磊,男,3
120,汪晓琳,女,3
121,俞阳,男,3
122,戴英,女,3
123,翟建凯,男,3
124,莫华,女,3
125,薛斌,男,3
126,涂晓云,女,3
127,祁腾,男,3
128,桂蓉,女,3
129,麻文锋,男,3
130,喻月,女,3
131,苏鑫,男,3
132,祝晓雯,女,3
133,聂宇,男,3
134,仇佳,女,3
135,佘建刚,男,3
136,车慧,女,3
137,尉志,男,3
138,燕晓晴,女,3
139,伏浩,男,3
140,苑娇,女,3
141,靖文磊,男,3
142,蓬霞,女,3
143,訾峰,男,3
144,漆晓雅,女,3
145,占昊,男,3
146,辜婧,女,3
147,阚文轩,男,3
148,禄慧,女,3
149,仉强,男,3
150,蓝晓晴,女,3
